10	10	0	21	0.0000
100	100	0	21	0.0000
101	101	0	21	0.0000
102	102	0	21	0.0000
103	103	0	21	0.0000
104	104	0	21	0.0000
11	11	0	21	0.0000
110	110	0	21	0.0000
111	111	0	21	0.0000
112	112	0	21	0.0000
113	113	0	21	0.0000
114	114	0	21	0.0000
115	115	0	21	0.0000
116	116	0	21	0.0000
117	117	0	21	0.0000
118	118	0	21	0.0000
119	119	0	21	0.0000
12	12	0	21	0.0000
120	120	0	21	0.0000
13	13	0	21	0.0000
14	14	0	21	0.0000
15	15	0	21	0.0000
16	16	0	21	0.0000
17	17	0	21	0.0000
18	18	0	21	0.0000
19	19	0	21	0.0000
2	2	0	21	0.0000
20	20	0	21	0.0000
21	21	0	21	0.0000
22	22	0	21	0.0000
23	23	0	21	0.0000
24	24	0	21	0.0000
25	25	0	21	0.0000
26	26	0	21	0.0000
27	27	0	21	0.0000
28	28	0	21	0.0000
29	29	0	21	0.0000
3	3	0	21	0.0000
30	30	0	21	0.0000
31	31	0	21	0.0000
32	32	0	21	0.0000
33	33	0	21	0.0000
34	34	0	21	0.0000
35	35	0	21	0.0000
36	36	0	21	0.0000
37	37	0	21	0.0000
38	38	0	21	0.0000
39	39	0	21	0.0000
4	4	0	21	0.0000
40	40	0	21	0.0000
41	41	0	21	0.0000
42	42	0	21	0.0000
43	43	0	21	0.0000
44	44	0	21	0.0000
45	45	0	21	0.0000
46	46	0	21	0.0000
47	47	0	21	0.0000
48	48	0	21	0.0000
49	49	0	21	0.0000
5	5	0	21	0.0000
50	50	0	21	0.0000
51	51	0	21	0.0000
52	52	0	21	0.0000
53	53	0	21	0.0000
55	55	0	21	0.0000
56	56	0	21	0.0000
57	57	0	21	0.0000
58	58	0	21	0.0000
59	59	0	21	0.0000
6	6	0	21	0.0000
60	60	0	21	0.0000
61	61	0	21	0.0000
62	62	0	21	0.0000
63	63	0	21	0.0000
64	64	0	21	0.0000
65	65	0	21	0.0000
66	66	0	21	0.0000
67	67	0	21	0.0000
68	68	0	21	0.0000
69	69	0	21	0.0000
7	7	0	21	0.0000
70	70	0	21	0.0000
71	71	0	21	0.0000
72	72	0	21	0.0000
73	73	0	21	0.0000
74	74	0	21	0.0000
75	75	0	21	0.0000
76	76	0	21	0.0000
77	77	0	21	0.0000
78	78	0	21	0.0000
79	79	0	21	0.0000
8	8	0	21	0.0000
80	80	0	21	0.0000
81	81	0	21	0.0000
82	82	0	21	0.0000
83	83	0	21	0.0000
84	84	0	21	0.0000
85	85	0	21	0.0000
86	86	0	21	0.0000
87	87	0	21	0.0000
88	88	0	21	0.0000
89	89	0	21	0.0000
9	9	0	21	0.0000
90	90	0	21	0.0000
91	91	0	21	0.0000
92	92	0	21	0.0000
93	93	0	21	0.0000
94	94	0	21	0.0000
95	95	0	21	0.0000
96	96	0	21	0.0000
97	97	0	21	0.0000
98	98	0	21	0.0000
99	99	0	21	0.0000
